Region,2012    ,2013    ,2014    ,2015    ,2016    ,2017
1     ,519.3472,646.5944,695.872 ,779.7992,825.7096,870.4931019
2     ,361.3744,541.052 ,561.4504,559.3464,565.7024,592.2209627
3     ,118.2696,142.4048,145.0104,139.2312,146.9304,150.0356434
4     ,93.752  ,96.0448 ,98.5584 ,105.2184,99.0192 ,101.3154108
5     ,206.8584,479.5024,490.2272,506.6872,527.292 ,577.1623577
6     ,93.752  ,60.8272 ,63.4824 ,66.3024 ,80.468  ,80.9749451
7     ,70.8328 ,79.1072 ,86.8664 ,56.02   ,57.1096 ,60.75228841
8     ,22.7488 ,25.7744 ,34.6664 ,44.3704 ,44.7528 ,49.03492575
9     ,16.2064 ,18.244  ,17.9136 ,17.7056 ,18.9936 ,19.07672532
10    ,28.212  ,30.7184 ,36.6712 ,62.108  ,48.328  ,52.80975975
11    ,8.1064  ,8.42    ,15.3952 ,18.6376 ,19.2032 ,20.99854218
12    ,12.2568 ,13.1464 ,20.1864 ,31.6592 ,34.5552 ,37.18128913
13    ,30.5792 ,32.1928 ,32.8264 ,33.1048 ,35.1896 ,36.63037263
