Region,2012     ,2013      ,2014      ,2015      ,2016      ,2017
1     ,107.11536,133.360095,143.5236  ,160.833585,170.302605,179.5392023
2     ,74.53347 ,111.591975,115.799145,115.365195,116.67612 ,122.1455735
3     ,24.393105,29.37099  ,29.908395 ,28.716435 ,30.304395 ,30.94485146
4     ,19.33635 ,19.80924  ,20.32767  ,21.701295 ,20.42271  ,20.89630347
5     ,42.664545,98.89737  ,101.10936 ,104.504235,108.753975,119.0397363
6     ,19.33635 ,12.54561  ,13.093245 ,13.67487  ,16.596525 ,16.70108243
7     ,14.609265,16.31586  ,17.916195 ,11.554125 ,11.778855 ,12.53015948
8     ,4.69194  ,5.31597   ,7.149945  ,9.151395  ,9.230265  ,10.11345344
9     ,3.34257  ,3.762825  ,3.69468   ,3.65178   ,3.91743   ,3.934574598
10    ,5.818725 ,6.33567   ,7.563435  ,12.809775 ,9.96765   ,10.89201295
11    ,1.671945 ,1.736625  ,3.17526   ,3.844005  ,3.96066   ,4.330949325
12    ,2.527965 ,2.711445  ,4.163445  ,6.52971   ,7.12701   ,7.668640883
13    ,6.30696  ,6.639765  ,6.770445  ,6.827865  ,7.257855  ,7.555014354
