Region,2012    ,2013     ,2014     ,2015     ,2016     ,2017
1     ,22.72144,28.288505,30.4444  ,34.116215,36.124795,38.08407321
2     ,15.81013,23.671025,24.563455,24.471405,24.74948 ,25.90966712
3     ,5.174295,6.23021  ,6.344205 ,6.091365 ,6.428205 ,6.5640594
4     ,4.10165 ,4.20196  ,4.31193  ,4.603305 ,4.33209  ,4.432549221
5     ,9.050055,20.97823 ,21.44744 ,22.167565,23.069025,25.25085315
6     ,4.10165 ,2.66119  ,2.777355 ,2.90073  ,3.520475 ,3.542653848
7     ,3.098935,3.46094  ,3.800405 ,2.450875 ,2.498545 ,2.657912618
8     ,0.99526 ,1.12763  ,1.516655 ,1.941205 ,1.957935 ,2.145278002
9     ,0.70903 ,0.798175 ,0.78372  ,0.77462  ,0.83097  ,0.834606733
10    ,1.234275,1.34393  ,1.604365 ,2.717225 ,2.11435  ,2.310426989
11    ,0.354655,0.368375 ,0.67354  ,0.815395 ,0.84014  ,0.91868622
12    ,0.536235,0.575155 ,0.883155 ,1.38509  ,1.51179  ,1.626681399
13    ,1.33784 ,1.408435 ,1.436155 ,1.448335 ,1.539545 ,1.602578802
